"There are ways of measuring competitiveness in sportspeople The most effective is getting them to play a sport that is not their vocation For the England cricketer Jenny Gunn, that sport is football",3
"She played for Notts County and was even called for England trials, only for cricket to put a fork in both at the age of 17 She has ambitions to play Sunday league when she calls time on a career that, so far, has given her 13 years at international level",2
" When Mark Robinson took over as England head coach at the end of 2015, he reinstated football to the warm-ups The squad, multi-sported, were thrilled Not Gunn",3
"Oh, it was ridiculous, she shouts Theres a no tackling rule How are we supposed to get the ball? You end up backing off and allowing them time and space You know what  Id rather not play My dad taught me: You go hard or go home",5
" Thats what his coach taught him Go into every tackle like you meant itHer father, by the way, is Bryn Gunn, a retired professional footballer who played more than 100 times for Nottingham Forest, winning the 1980 European Cup That coach? Brian Clough She spends the next 10-minutes doing her best Cloughie impression: laying into referees and mourning the modern game",5
"Its a passion at odds with Gunns humble demeanour: one that forms the foundation of 132 ODI, 95 T20I and 11 Test caps",1
" She sneaked to the top of the English one-day international wicket-takers list with 123 at an average 27 All with little fanfare Typically, she wants nothing to do with it: Oh, dont pay too much attention to that, she says Katherine Brunts only four away from beating me She deserves it",5
" The former England coach Mark Lane put it best on Gunn, a low-maintenance, uncomplicated individual: She has her tea at teatimeYet Lane also marked Gunn as his luxury player: a bowler of yorkers, a batter with a breezy cameo in the chamber and a gifted fielder",2
" During Lanes tenure, one of English crickets most successful, Gunn was his vice-captain",1
" In 2014, she was appointed MBE for services to cricket That she is preparing for her fourth World Cup, aged 31, is a testament to the wedding of natural aptitude and grit that doesnt lie far from the surfaceOver the last year, she has lost long-term team-mates in Charlotte Edwards and Lydia Greenway",3
" Surely Gunn was worried she was next? Oh yeah, theres always going to be that thought when a new coach comes in, she acknowledges Especially coming in from the mens game You dont really know what his views are But we sat down as a team early on and Robbo put my mind at ease with something he said: Ive got nothing about age If you can do it, youre old or young enough",5
" That relaxes you a bit And on top of other changes, you realise you belong and you can challenge yourself to get better",2
"Now she is craftier with the ball, variations plentiful and execution of slower balls at such a level that Robinson calls her a world-class spinner Tongue in cheek, sure, but a clear sign of endearmentShe laughs it off  People seem to love telling me how slow I am  but appreciates the sentiment",3
" She has been called worseAt the end of her England debut in 2004, in South Africa, Gunn was called into the umpires office You chuck it, said one of the officials",3
" Five years later, she was called while playing in Perth and banned from bowling in domestic cricket",1
"It is the timing of that call, months before the 2009 World Cup in Australia, in which the hosts biggest rivals were England, that Gunn finds suspicious: I think they were doing it to unsettle me",1
" And us as a side I really believe thatShe was allowed to bowl in the World Cup, provided she was not called while playing for England in the warm-ups",3
" As fate would have it, the same umpire that called Gunn was standing for their final game before the tournament As a result, she did not bowl that day and went on to take five wickets at an economy rate of 3",2
