There are ways of measuring competitiveness in sportspeople,sport
"Her father, by the way, is Bryn Gunn, a retired professional footballer who played more than 100 times for Nottingham Forest, winning the 1980 European Cup",sport
"Its a passion at odds with Gunns humble demeanour: one that forms the foundation of 132 ODI, 95 T20I and 11 Test caps",sport
"Yet Lane also marked Gunn as his luxury player: a bowler of yorkers, a batter with a breezy cameo in the chamber and a gifted fielder",sport
"At the end of her England debut in 2004, in South Africa, Gunn was called into the umpires office You chuck it, said one of the officials",sport
"When Gunn became the first woman accepted into the Nottinghamshire academy (she now plays for Warwickshire) most of her time off the field was spent as a lab rat To correct a quirk where her right arm comes out before coming past her ear  rather than the conventional wheel-like motion of most bowlers  she was ordered by coaches to run through the academy corridors and simulate bowling while pressed up against the wall This, they believe, would stop her arm from moving out",sport
Englands women have taken over as the worlds top-ranked team following a convincing and fully deserved triumph over the Black Ferns,sport
"Given the opportunity to attack from long range, however, the Black Ferns are frequently as deadly as their male counterparts A gloriously skilful chip and chase score from their talented scrum-half Kendra Cocksedge levelled the scores before the pacy Portia Woodman intercepted an attempted pass from Scarratt to outsprint the retreating cover from 60 metresRemarkably, New Zealand could not score any further points until the 78th minute of the game as England took increasing control, thanks partly to their shrewd kicking game Abbie Scott was duly credited with the first of Englands close-range tries but, with the scores level at 14-14 at half-time, it was a contest still awaiting a decisive interventionA key moment arrived within three minutes of the restart when a well-worked lineout move resulted in Katy McLean putting Lydia Thompson over in the right corner",sport
"Hunters own performance drew particular praise from Englands head coach, Simon Middleton, whose side have also defeated Australia and Canada in this months international series as they prepare to defend their World Cup title Shes a fantastic captain and a fantastic player, said Middleton Thats why shes world player of the year",sport
"Tries: Cocksedge, Woodman, Subritzky-Nafatali Cons: Cocksedge 2, BrazierSin-bin: Faamausili, 36",sport
"England: Waterman (E Scott, 67); Thompson, Scarratt, Burford (A Reed, 59), Wilson; McLean, Hunt (Mason, 40); Clark (Cornborough, 54), Cokayne (Fleetwood, 54), Bern (Lucas, 54), Taylor, A Scott, Mathews, Packer (Noel-Smith, 59), Hunter (capt; Millar-Mills, 67)",sport
"Tries: Scarratt, Scott, Thompson, Packer, Fleetwood",sport
